Comment,Annotation,label,text_len
Jodha akbar amar rahe ❤❤❤​,Not Hatespeech,1,5
​gay siri rem 🏳️‍🌈🏳️‍🌈,Not Hatespeech,1,4
"Abe chamar log, tumhari aukat kya hai? 😠 Tum toh bas gaav mein gandagi failate ho. 🤮",Hatespeech,0,17
"ram ki maa bhosdsa,",Hatespeech,0,4
​ yaha ke mool niwasi h iska kya proof h,Not Hatespeech,1,10
In bhangi logon ko toh bas gaali dene ka man karta hai. Koi izzat nahi hai.,Hatespeech,0,16
"Dekho, ye dalit log, inki aukat kya hai? Just trying to act like they're equal. LOL! 🤣",Hatespeech,0,17
"Yad rakhna ye Yogi ke Thakurwadi jatiwadi manuwadi samanti gunde police aur sarkar ko chun chun kar marna ,sarkar aane do Chandrasekhar ,ye kutte ki dum hai nahi sudhrega,pura sasan prasan jatiwadi raha hai",Hatespeech,0,34
"Yeh chamar log toh sirf reservation ke layak hain, aur koi kaam toh aata nahi hai 😠",Hatespeech,0,17
Why u re using surname of rajputs and Punjabis?,Not Hatespeech,1,9
नंद किशोर जी वो आपका सम्मान नही बल्कि दलित समाज को गुप्त बनाने में लगे हुए हो इसीलिए तुम्हे इस्तमाल कर रहे है इसी सम्मान के नाम पर आप समाज को गुलाम बनाने में लगे हो।,Not Hatespeech,1,36
"In dalit logon ko toh bas kaam karne do, kyunki inki koi soch toh hai nahi. 🙄",Hatespeech,0,17
BBC isn't that ironic. Please make a video elaborating how you forced one of your employees to do the same. Hypocrisy at it's best,Not Hatespeech,1,24
इन को भवर सिंह मेघवनसी के बारे मे बताइये.,Not Hatespeech,1,9
बहुत अच्छे एटा के जाटवो,Not Hatespeech,1,5
Jay bhim jay Akhilesh Yadav cm 27 Jay PDA,Not Hatespeech,1,9
No wonder why Dalits are leaving Hinduism.,Not Hatespeech,1,7
Sahi ye hai ki ye ghatiya dharam hi badal do,Hatespeech,0,10
"Yeh bhangi toh hamare gaon mein gandagi failate hain, inko toh dur rakhna chahiye. 😠",Hatespeech,0,15
Tere liye nhi hoge mere liye sab se bade h smjha​,Not Hatespeech,1,11
Yahi baat apne ghar me bol di na toh Alien lagoge 😂😂😂,Not Hatespeech,1,12
ye admi anpadh he raigar ya fattu,Not Hatespeech,1,7
Do whatever you wants .you dalits still a part of our country always became brave and make a history.fully supported by sonam Patra.,Not Hatespeech,1,23
Yeh chamar log toh bas reservation ka fayda uthate hain! 😡 Koi kaam dhanda toh hota nahi hai inka. 😠,Hatespeech,0,20
Abey o jahil valmiki dalit the to bata itna sal tak ramyan ki kattchvak brahmin kyu hai itna salo tak ye brahnin ye ramyan ko dusri lk kyu nahi padna deta the jahil insan,Hatespeech,0,34
Sc st act hatwaiye  galat baat karte ho  dam hai to sc act khatm karo fir ladke dekh lena,Hatespeech,0,19
तू मुगल दासी पुत्र हैं दीपक,Hatespeech,0,6
apr 14 is ambedkar's birth anniversary.,Not Hatespeech,1,6
Jab gand pe laat tikti hai tabhi sc st obc ko brahman dharam ki asli sachai samajh aati hai,Hatespeech,0,19
"BC, yeh chamar log aaj bhi reservations ka fayda utha rahe hain! 😡",Hatespeech,0,13
A hindu dharm hi is ki jad he sister,Not Hatespeech,1,9
In dalit auraton ko toh koi bhi ched sakta hai. Inki toh izzat hi nahi hai.,Hatespeech,0,16
"Arre, in ch log ko toh bas reservation chahiye, aur kuch nahi. 🙄",Hatespeech,0,13
"​ऐसा पेले जाओगे कि चीख भी नहीं निकलेगी
जब तुम दूसरों को सम्मान करोगे 
तभी तुम उम्मीद कर सकते हो कि दूसरा व्यक्ति तुम्हे सम्मान करे",Not Hatespeech,1,26
सद्भावना का परिचय सभी को देना होगा  कोई एक समाज से उम्मीद करना गलत हो,Not Hatespeech,1,15
"Upper caste wale toh bas apne aap ko superior samajhte hain, jaise ki bhangi toh insaan hi nahi hain.  Such ego! 😒",Hatespeech,0,22
Up main yeh sab her roj hota hai. Up ka mahol hi thik nahi hai. Education ki bahot jarurat hai waha pe.,Not Hatespeech,1,22
In chamar logo ko toh koi izzat hi nahi hai yaar. They are so low class 🤮,Hatespeech,0,17
है समाज में एक तबका ऐसा भी जो भीख मांग  के खाते है खुद को सर्वश्रेष्ठ बताते है ।😀😀😂 कौन है वो,Hatespeech,0,22
"Ohh bhai, bhangi logon ki toh aukaat hi kya hai? 🤮 Inko toh sirf safai ka kaam karna chahiye, bas.",Hatespeech,0,20
Wah matalb tumlog ki bhavna choti choti cheez mai ahat hoti hai  dhram ki tekhdar yaha respect ki baat nahi kisi ko marna pitna kahi se thik nahi gai tumhare maa hai dusro ki nahi,Not Hatespeech,1,35
बहुत ही अच्छा किया है भाइयों और बहनों ने 🫡👍 अब आगे से ऐसे ही होगा,Not Hatespeech,1,16
"Dalit aur baniya ek saath aate hain toh pata nahi kya drama karte hain, I swear! 🙄",Hatespeech,0,17
I believe this discrimination is not good but if we really want to end it then first of all you need to abolish the reservation system provided to dalits. Most of general category person don't like dalits because they know that they are undeserving candidates but got the job due to quota.,Hatespeech,0,52
"परशुराम को कुछ लोगों ने मारा लेकिन उन्होंने छोड़ा क्या सनातन धर्म। क्या सनातन धर्म ने उनको मारा। नहीं। 
जिन्होंने मारा वे जेल गए। फिर सनातन धर्म छोड़ने का कारण।
जिसकी आस्था सनातन में नहीं उन्हें बहाना चाहिए।",Not Hatespeech,1,38
Fight again again  my son  join another  religion,Not Hatespeech,1,8
Ye galat bol rahi hai aasa nahi hai mere 3-4 friends hai but hamare bich aasa nahi hai,Not Hatespeech,1,18
Aajkal sabse bade andbhkt dalit hi hai,Hatespeech,0,7
Thakuro ki gundai,Hatespeech,0,3
"It should be Buddhist nation.
All dalits must get converted to Buddhism.",Not Hatespeech,1,12
Yeh bhangi toh hamesha reservation ki baat karte hain. Kuch kaam-dhandha toh hai nahi inke paas. 😡 Desh ko barbaad kar diya hai.,Hatespeech,0,23
"Abe chamar log, tumhari toh aukat hi nahi hai humare saath competition karne ki. Tum toh bas gaav mein hi raho 😠.",Hatespeech,0,22
usne kya harkat ki hogi ye bhi puch lete,Not Hatespeech,1,9
"​ wali😂
Pasmananda Ahmediya Sunni ashrafi siya😂",Not Hatespeech,1,7
जाटव समाज को सलाम ❤ महाराष्ट्र से सलाम करता हु आपको ❤,Not Hatespeech,1,12
मोहम्मद और आयशा खुदाई,Not Hatespeech,1,4
"In bhangi logon ko toh bas gaali dene ka mann karta hai. Saale, apni aukaat mein raho! 😡",Hatespeech,0,18
"Hai क्योंकि हम लोग pure वेजेटेरियन हैं,, और हमारा जो मन करेगा वो ही करेंगे कि,,, हमारी जिसमे सुरक्षा दिखेगी वही हम करेंगे,, आप लोगो के कहने से कुछ नही करेंगे,,",Not Hatespeech,1,31
Chutiya ho kya ? Obc ko khud me kyu jodte ho ?? Jo jati ek state me obc me ati hai wo dusre state me general me ate hain,Hatespeech,0,29
सामंत शाही पर करारी चोट अब आगे भी ऐसा ही होगा,Not Hatespeech,1,11
​ phir reservation bhi sc community ki hai shadi vivah agar apne community mai karna chahiye tumlog dikkat nahi honi chahiye phir us cheez se jab tumlog jativad rakhna chahte ho shouk se rakho phir reservatio pe mat rona phir,Not Hatespeech,1,40
"Funny how Savarnas crying about how they can't opress their dalit ""friends""",Hatespeech,0,12
Mera samaj jag raha hai,Not Hatespeech,1,5
"Arre yaar, yeh chamaar log toh bas reservation ka fayda uthate hain. 😒",Hatespeech,0,13
"thodi din pehle jab powerful hindu moon me chandrayan veja tab muhammod ki panty mila . 
Q ki muhammod moon ki do tukde kiya tha 😂
Lekin Ayesha bachhi nehi mili",Hatespeech,0,31
Upper caste waale toh bas chuhra logo ko neecha dikhane mein lage rehte hai. Hypocrites! 😤,Hatespeech,0,16
Jai bhim sir,Not Hatespeech,1,3
Dalit ak dalla ban ke rahe gya h bs koi bhi auo or chodho,Hatespeech,0,14
To define people by caste and discriminate against them based on caste is delusional mental illness . !,Not Hatespeech,1,18
Jai Hindutva 🚩⚔️,Not Hatespeech,1,3
"Namshkar, Aise aap ho kaun, Sis,,, .  Ye India hai, Suniyojit aur Yojanabadh tarike se,  Yeha pe Varn  bewastha, Prabhavi roop se Humesha Laagu hi rahega, kyoki, bharat k nirmaan  me Shrooaati galtiya hui hai, Jise ab sudhaarana Bahut Qatheen hai...",Not Hatespeech,1,41
हिंदू धर्म एक जहर है 2014 से पहले मेरा भी बहुत सारा हिंदू फ्रेंड था पर अब धीरे धीरे खतम हो गया😢😢😢😢,Hatespeech,0,22
"Yeh bhangi log, inki toh aukaat hi nahi hai humare saath khade hone ki.😡🤮",Hatespeech,0,14
"Abe chamar log, tum logo ko reservation chahiye, bas! 😠",Hatespeech,0,10
हिंदू एक घटिया धर्म है शर्म आती है कि हम हिन्दू धर्म में जन्मे इसलिए हम पुरे परिवार सहित भारत के मूल धम को अपनाएंगे जय भीम ।,Hatespeech,0,28
BBC or ye larki chutia bana rehe hai ..........q ki corporate me sisa nahi hota hai or SC ki population 50% hai or ye sirf SC larki nahi jo kaam karti hai,Hatespeech,0,32
Dalit.6..mahine hindu .6..mahine bodh .ban jaate hai,Not Hatespeech,1,7
In 😠duggar ki kya aukat hai? They think they can just waltz in and take over everything. Smh! 🙄,Hatespeech,0,19
I agree with you brother we are fool who we care like this people because I know that they are not about to improve yourself ever and they always will keep on jealousing because besides they can't also do something else and one more last thing I would like to say  they know that reservation is not the biggest problem to them the biggest problem is over population in our society neither reservation and one day that day will do come when this reservation will remove but that day too this castism will be aliving because they can't improve ever,Not Hatespeech,1,100
"In dalit logon ko toh bas government job chahiye, koi kaam dhanda nahi karna! 😡",Hatespeech,0,15
Sahi kiya...sala criminal lg raha hai sakal se he😂,Hatespeech,0,9
sa Thoda sa vi akkel nhi hei kia😂...,Not Hatespeech,1,8
"BC, ye chmr log, inke liye toh koi izzat hi nahi hai. 😠",Hatespeech,0,13
"Abey, khud bol raha hai ki I don't know about Buddhism aur mujhe Buddhism pe Gyan de Raha hai. Ironic ho gaya ye toh😂
Mujhe actually Terese jyada pata hai Buddhism ke baare mein aur tere dharma ke baare main bhi.
Aur Jo aj kal Neo Buddhist kar rahe hai voh sahi hai.",Not Hatespeech,1,53
हक मांगा नहीं जाता छिना जाता है🫡,Not Hatespeech,1,7
​ Sri raam ke ma our bahan L par,Hatespeech,0,9
Bahut achha kiya ❤❤,Not Hatespeech,1,4
Bs Aarakshan continue rehna chahiye tum jese logo ne desh ka beda garak kr diya 🙏,Not Hatespeech,1,16
Your surname is bharadwaj..it is brahmin... Shut up.,Not Hatespeech,1,8
"Yeh bhangi toh bas safai karne ke liye paida hue hain, aur kya kareinge? 🤮🤮",Hatespeech,0,15
